method,spamming_rate,divisiveness_rate,majority_accuracy,minority_accuracy
BCC,0.0,0.0,1.0,1.0
D&S,0.0,0.0,1.0,1.0
LFC,0.0,0.0,1.0,1.0
MACE,0.0,0.0,1.0,1.0
Majority Vote,0.0,0.0,1.0,1.0
NUTMEG,0.0,0.0,1.0,0.854
BCC,0.0,0.1,0.996,0.912
D&S,0.0,0.1,0.998,0.91
LFC,0.0,0.1,0.996,0.912
MACE,0.0,0.1,0.998,0.91
Majority Vote,0.0,0.1,0.996,0.912
NUTMEG,0.0,0.1,1.0,0.844
BCC,0.0,0.2,0.996,0.796
D&S,0.0,0.2,0.996,0.796
LFC,0.0,0.2,0.996,0.796
MACE,0.0,0.2,1.0,0.792
Majority Vote,0.0,0.2,0.988,0.804
NUTMEG,0.0,0.2,1.0,0.832
BCC,0.0,0.3,0.998,0.678
D&S,0.0,0.3,0.998,0.678
LFC,0.0,0.3,0.998,0.678
MACE,0.0,0.3,0.998,0.678
Majority Vote,0.0,0.3,0.976,0.7
NUTMEG,0.0,0.3,1.0,0.842
BCC,0.0,0.4,0.998,0.594
D&S,0.0,0.4,0.998,0.594
LFC,0.0,0.4,0.998,0.594
MACE,0.0,0.4,0.998,0.594
Majority Vote,0.0,0.4,0.974,0.618
NUTMEG,0.0,0.4,1.0,0.814
BCC,0.0,0.5,1.0,0.53
D&S,0.0,0.5,1.0,0.53
LFC,0.0,0.5,1.0,0.53
MACE,0.0,0.5,1.0,0.53
Majority Vote,0.0,0.5,0.966,0.564
NUTMEG,0.0,0.5,1.0,0.808
BCC,0.0,0.6,1.0,0.408
D&S,0.0,0.6,1.0,0.408
LFC,0.0,0.6,1.0,0.408
MACE,0.0,0.6,1.0,0.408
Majority Vote,0.0,0.6,0.98,0.428
NUTMEG,0.0,0.6,1.0,0.83
BCC,0.0,0.7,1.0,0.324
D&S,0.0,0.7,1.0,0.324
LFC,0.0,0.7,1.0,0.324
MACE,0.0,0.7,1.0,0.324
Majority Vote,0.0,0.7,0.958,0.366
NUTMEG,0.0,0.7,1.0,0.854
BCC,0.0,0.8,0.998,0.206
D&S,0.0,0.8,0.998,0.206
LFC,0.0,0.8,0.998,0.206
MACE,0.0,0.8,1.0,0.208
Majority Vote,0.0,0.8,0.956,0.252
NUTMEG,0.0,0.8,1.0,0.828
BCC,0.0,0.9,1.0,0.092
D&S,0.0,0.9,1.0,0.092
LFC,0.0,0.9,1.0,0.092
MACE,0.0,0.9,1.0,0.092
Majority Vote,0.0,0.9,0.956,0.136
NUTMEG,0.0,0.9,1.0,0.842
BCC,0.0,1.0,1.0,0.0
D&S,0.0,1.0,1.0,0.0
LFC,0.0,1.0,1.0,0.0
MACE,0.0,1.0,1.0,0.0
Majority Vote,0.0,1.0,0.936,0.064
NUTMEG,0.0,1.0,1.0,0.832
BCC,0.05,0.0,1.0,1.0
D&S,0.05,0.0,1.0,1.0
LFC,0.05,0.0,1.0,1.0
MACE,0.05,0.0,1.0,1.0
Majority Vote,0.05,0.0,1.0,1.0
NUTMEG,0.05,0.0,1.0,0.794
BCC,0.05,0.1,0.996,0.92
D&S,0.05,0.1,0.996,0.92
LFC,0.05,0.1,0.996,0.92
MACE,0.05,0.1,0.998,0.918
Majority Vote,0.05,0.1,0.996,0.92
NUTMEG,0.05,0.1,1.0,0.836
BCC,0.05,0.2,0.998,0.834
D&S,0.05,0.2,0.998,0.834
LFC,0.05,0.2,0.998,0.834
MACE,0.05,0.2,1.0,0.832
Majority Vote,0.05,0.2,0.996,0.836
NUTMEG,0.05,0.2,1.0,0.794
BCC,0.05,0.3,0.992,0.758
D&S,0.05,0.3,0.994,0.756
LFC,0.05,0.3,0.994,0.756
MACE,0.05,0.3,0.996,0.754
Majority Vote,0.05,0.3,0.986,0.764
NUTMEG,0.05,0.3,0.998,0.816
BCC,0.05,0.4,0.994,0.656
D&S,0.05,0.4,0.996,0.654
LFC,0.05,0.4,0.996,0.654
MACE,0.05,0.4,0.996,0.654
Majority Vote,0.05,0.4,0.974,0.676
NUTMEG,0.05,0.4,1.0,0.826
BCC,0.05,0.5,0.998,0.55
D&S,0.05,0.5,1.0,0.548
LFC,0.05,0.5,1.0,0.548
MACE,0.05,0.5,1.0,0.548
Majority Vote,0.05,0.5,0.976,0.572
NUTMEG,0.05,0.5,0.996,0.822
BCC,0.05,0.6,1.0,0.35
D&S,0.05,0.6,1.0,0.35
LFC,0.05,0.6,1.0,0.35
MACE,0.05,0.6,1.0,0.35
Majority Vote,0.05,0.6,0.936,0.414
NUTMEG,0.05,0.6,1.0,0.842
BCC,0.05,0.7,1.0,0.25
D&S,0.05,0.7,0.998,0.248
LFC,0.05,0.7,0.998,0.248
MACE,0.05,0.7,0.998,0.252
Majority Vote,0.05,0.7,0.96,0.29
NUTMEG,0.05,0.7,1.0,0.85
BCC,0.05,0.8,1.0,0.168
D&S,0.05,0.8,1.0,0.168
LFC,0.05,0.8,1.0,0.168
MACE,0.05,0.8,1.0,0.168
Majority Vote,0.05,0.8,0.938,0.23
NUTMEG,0.05,0.8,1.0,0.836
BCC,0.05,0.9,0.998,0.082
D&S,0.05,0.9,0.996,0.08
LFC,0.05,0.9,0.996,0.08
MACE,0.05,0.9,1.0,0.084
Majority Vote,0.05,0.9,0.938,0.146
NUTMEG,0.05,0.9,1.0,0.838
BCC,0.05,1.0,0.998,0.002
D&S,0.05,1.0,0.998,0.002
LFC,0.05,1.0,0.998,0.002
MACE,0.05,1.0,0.998,0.002
Majority Vote,0.05,1.0,0.934,0.066
NUTMEG,0.05,1.0,1.0,0.842
BCC,0.1,0.0,1.0,1.0
D&S,0.1,0.0,1.0,1.0
LFC,0.1,0.0,1.0,1.0
MACE,0.1,0.0,1.0,1.0
Majority Vote,0.1,0.0,1.0,1.0
NUTMEG,0.1,0.0,0.998,0.804
BCC,0.1,0.1,0.994,0.912
D&S,0.1,0.1,0.994,0.912
LFC,0.1,0.1,0.994,0.912
MACE,0.1,0.1,0.994,0.912
Majority Vote,0.1,0.1,0.988,0.91
NUTMEG,0.1,0.1,0.996,0.772
BCC,0.1,0.2,0.996,0.802
D&S,0.1,0.2,0.996,0.802
LFC,0.1,0.2,0.996,0.802
MACE,0.1,0.2,1.0,0.798
Majority Vote,0.1,0.2,0.986,0.812
NUTMEG,0.1,0.2,0.998,0.796
BCC,0.1,0.3,0.996,0.692
D&S,0.1,0.3,0.996,0.692
LFC,0.1,0.3,0.996,0.692
MACE,0.1,0.3,1.0,0.688
Majority Vote,0.1,0.3,0.986,0.702
NUTMEG,0.1,0.3,0.996,0.824
BCC,0.1,0.4,0.998,0.6
D&S,0.1,0.4,0.998,0.6
LFC,0.1,0.4,0.998,0.6
MACE,0.1,0.4,0.998,0.6
Majority Vote,0.1,0.4,0.972,0.626
NUTMEG,0.1,0.4,0.998,0.82
BCC,0.1,0.5,0.992,0.546
D&S,0.1,0.5,0.996,0.542
LFC,0.1,0.5,0.996,0.542
MACE,0.1,0.5,0.996,0.542
Majority Vote,0.1,0.5,0.96,0.582
NUTMEG,0.1,0.5,1.0,0.798
BCC,0.1,0.6,0.996,0.402
D&S,0.1,0.6,0.998,0.396
LFC,0.1,0.6,0.998,0.396
MACE,0.1,0.6,0.994,0.4
Majority Vote,0.1,0.6,0.966,0.432
NUTMEG,0.1,0.6,0.994,0.838
BCC,0.1,0.7,1.0,0.312
D&S,0.1,0.7,0.998,0.31
LFC,0.1,0.7,0.998,0.31
MACE,0.1,0.7,1.0,0.312
Majority Vote,0.1,0.7,0.952,0.36
NUTMEG,0.1,0.7,0.996,0.81
BCC,0.1,0.8,0.998,0.204
D&S,0.1,0.8,1.0,0.202
LFC,0.1,0.8,1.0,0.202
MACE,0.1,0.8,0.998,0.204
Majority Vote,0.1,0.8,0.94,0.262
NUTMEG,0.1,0.8,0.996,0.828
BCC,0.1,0.9,0.998,0.092
D&S,0.1,0.9,0.998,0.088
LFC,0.1,0.9,0.998,0.088
MACE,0.1,0.9,0.996,0.094
Majority Vote,0.1,0.9,0.926,0.164
NUTMEG,0.1,0.9,0.996,0.816
BCC,0.1,1.0,1.0,0.0
D&S,0.1,1.0,1.0,0.0
LFC,0.1,1.0,1.0,0.0
MACE,0.1,1.0,1.0,0.0
Majority Vote,0.1,1.0,0.908,0.092
NUTMEG,0.1,1.0,0.998,0.82
BCC,0.15,0.0,1.0,1.0
D&S,0.15,0.0,1.0,1.0
LFC,0.15,0.0,1.0,1.0
MACE,0.15,0.0,1.0,1.0
Majority Vote,0.15,0.0,0.996,0.996
NUTMEG,0.15,0.0,0.992,0.792
BCC,0.15,0.1,0.984,0.934
D&S,0.15,0.1,0.984,0.934
LFC,0.15,0.1,0.984,0.934
MACE,0.15,0.1,0.986,0.936
Majority Vote,0.15,0.1,0.982,0.932
NUTMEG,0.15,0.1,0.992,0.804
BCC,0.15,0.2,0.996,0.804
D&S,0.15,0.2,0.996,0.804
LFC,0.15,0.2,0.996,0.804
MACE,0.15,0.2,0.996,0.804
Majority Vote,0.15,0.2,0.984,0.8
NUTMEG,0.15,0.2,1.0,0.798
BCC,0.15,0.3,0.988,0.712
D&S,0.15,0.3,0.99,0.71
LFC,0.15,0.3,0.99,0.71
MACE,0.15,0.3,0.992,0.708
Majority Vote,0.15,0.3,0.98,0.72
NUTMEG,0.15,0.3,0.994,0.82
BCC,0.15,0.4,0.992,0.622
D&S,0.15,0.4,0.99,0.62
LFC,0.15,0.4,0.988,0.618
MACE,0.15,0.4,0.992,0.614
Majority Vote,0.15,0.4,0.968,0.642
NUTMEG,0.15,0.4,0.996,0.822
BCC,0.15,0.5,0.992,0.508
D&S,0.15,0.5,0.992,0.508
LFC,0.15,0.5,0.992,0.508
MACE,0.15,0.5,0.992,0.508
Majority Vote,0.15,0.5,0.942,0.554
NUTMEG,0.15,0.5,1.0,0.774
BCC,0.15,0.6,0.996,0.386
D&S,0.15,0.6,0.998,0.388
LFC,0.15,0.6,0.998,0.388
MACE,0.15,0.6,0.998,0.388
Majority Vote,0.15,0.6,0.95,0.432
NUTMEG,0.15,0.6,0.994,0.768
BCC,0.15,0.7,0.994,0.298
D&S,0.15,0.7,0.992,0.296
LFC,0.15,0.7,0.992,0.296
MACE,0.15,0.7,0.996,0.3
Majority Vote,0.15,0.7,0.926,0.366
NUTMEG,0.15,0.7,0.998,0.808
BCC,0.15,0.8,0.986,0.194
D&S,0.15,0.8,0.986,0.194
LFC,0.15,0.8,0.986,0.194
MACE,0.15,0.8,0.99,0.206
Majority Vote,0.15,0.8,0.92,0.28
NUTMEG,0.15,0.8,0.996,0.854
BCC,0.15,0.9,0.998,0.08
D&S,0.15,0.9,0.998,0.076
LFC,0.15,0.9,0.998,0.076
MACE,0.15,0.9,0.994,0.084
Majority Vote,0.15,0.9,0.91,0.168
NUTMEG,0.15,0.9,0.994,0.818
BCC,0.15,1.0,0.998,0.002
D&S,0.15,1.0,0.998,0.002
LFC,0.15,1.0,0.998,0.002
MACE,0.15,1.0,0.994,0.006
Majority Vote,0.15,1.0,0.896,0.104
NUTMEG,0.15,1.0,0.996,0.81
BCC,0.2,0.0,0.994,0.994
D&S,0.2,0.0,0.994,0.994
LFC,0.2,0.0,0.994,0.994
MACE,0.2,0.0,0.994,0.994
Majority Vote,0.2,0.0,0.994,0.994
NUTMEG,0.2,0.0,0.992,0.824
BCC,0.2,0.1,0.992,0.926
D&S,0.2,0.1,0.988,0.922
LFC,0.2,0.1,0.988,0.922
MACE,0.2,0.1,0.992,0.926
Majority Vote,0.2,0.1,0.988,0.922
NUTMEG,0.2,0.1,0.986,0.812
BCC,0.2,0.2,0.992,0.808
D&S,0.2,0.2,0.992,0.808
LFC,0.2,0.2,0.992,0.808
MACE,0.2,0.2,0.992,0.808
Majority Vote,0.2,0.2,0.98,0.812
NUTMEG,0.2,0.2,0.996,0.82
BCC,0.2,0.3,0.982,0.714
D&S,0.2,0.3,0.986,0.71
LFC,0.2,0.3,0.986,0.71
MACE,0.2,0.3,0.988,0.712
Majority Vote,0.2,0.3,0.956,0.728
NUTMEG,0.2,0.3,0.99,0.798
BCC,0.2,0.4,0.98,0.628
D&S,0.2,0.4,0.986,0.618
LFC,0.2,0.4,0.986,0.618
MACE,0.2,0.4,0.976,0.62
Majority Vote,0.2,0.4,0.95,0.654
NUTMEG,0.2,0.4,0.99,0.812
BCC,0.2,0.5,0.984,0.522
D&S,0.2,0.5,0.986,0.516
LFC,0.2,0.5,0.984,0.514
MACE,0.2,0.5,0.986,0.512
Majority Vote,0.2,0.5,0.932,0.574
NUTMEG,0.2,0.5,0.986,0.82
BCC,0.2,0.6,0.99,0.39
D&S,0.2,0.6,0.994,0.386
LFC,0.2,0.6,0.994,0.386
MACE,0.2,0.6,0.996,0.388
Majority Vote,0.2,0.6,0.944,0.444
NUTMEG,0.2,0.6,0.984,0.79
BCC,0.2,0.7,0.986,0.29
D&S,0.2,0.7,0.98,0.284
LFC,0.2,0.7,0.98,0.284
MACE,0.2,0.7,0.99,0.294
Majority Vote,0.2,0.7,0.916,0.372
NUTMEG,0.2,0.7,0.984,0.79
BCC,0.2,0.8,0.994,0.206
D&S,0.2,0.8,0.99,0.206
LFC,0.2,0.8,0.99,0.206
MACE,0.2,0.8,0.988,0.212
Majority Vote,0.2,0.8,0.896,0.3
NUTMEG,0.2,0.8,0.992,0.814
BCC,0.2,0.9,0.998,0.08
D&S,0.2,0.9,0.998,0.08
LFC,0.2,0.9,0.998,0.08
MACE,0.2,0.9,0.992,0.086
Majority Vote,0.2,0.9,0.904,0.174
NUTMEG,0.2,0.9,0.986,0.812
BCC,0.2,1.0,0.996,0.004
D&S,0.2,1.0,0.994,0.006
LFC,0.2,1.0,0.99,0.01
MACE,0.2,1.0,0.994,0.006
Majority Vote,0.2,1.0,0.916,0.084
NUTMEG,0.2,1.0,0.986,0.778
BCC,0.25,0.0,0.996,0.996
D&S,0.25,0.0,0.996,0.996
LFC,0.25,0.0,0.996,0.996
MACE,0.25,0.0,0.996,0.996
Majority Vote,0.25,0.0,0.99,0.99
NUTMEG,0.25,0.0,0.974,0.772
BCC,0.25,0.1,0.994,0.924
D&S,0.25,0.1,0.996,0.922
LFC,0.25,0.1,0.994,0.924
MACE,0.25,0.1,0.998,0.92
Majority Vote,0.25,0.1,0.976,0.922
NUTMEG,0.25,0.1,0.974,0.794
BCC,0.25,0.2,0.994,0.834
D&S,0.25,0.2,0.992,0.836
LFC,0.25,0.2,0.992,0.836
MACE,0.25,0.2,0.996,0.832
Majority Vote,0.25,0.2,0.98,0.84
NUTMEG,0.25,0.2,0.99,0.794
BCC,0.25,0.3,0.98,0.762
D&S,0.25,0.3,0.978,0.764
LFC,0.25,0.3,0.978,0.764
MACE,0.25,0.3,0.982,0.756
Majority Vote,0.25,0.3,0.958,0.768
NUTMEG,0.25,0.3,0.984,0.834
BCC,0.25,0.4,0.97,0.668
D&S,0.25,0.4,0.976,0.662
LFC,0.25,0.4,0.976,0.662
MACE,0.25,0.4,0.978,0.664
Majority Vote,0.25,0.4,0.928,0.698
NUTMEG,0.25,0.4,0.99,0.794
BCC,0.25,0.5,0.99,0.548
D&S,0.25,0.5,0.99,0.54
LFC,0.25,0.5,0.99,0.54
MACE,0.25,0.5,0.992,0.55
Majority Vote,0.25,0.5,0.946,0.58
NUTMEG,0.25,0.5,0.984,0.798
BCC,0.25,0.6,0.986,0.36
D&S,0.25,0.6,0.986,0.356
LFC,0.25,0.6,0.986,0.356
MACE,0.25,0.6,0.988,0.358
Majority Vote,0.25,0.6,0.914,0.428
NUTMEG,0.25,0.6,0.984,0.782
BCC,0.25,0.7,0.978,0.248
D&S,0.25,0.7,0.976,0.238
LFC,0.25,0.7,0.976,0.238
MACE,0.25,0.7,0.974,0.26
Majority Vote,0.25,0.7,0.912,0.326
NUTMEG,0.25,0.7,0.972,0.802
BCC,0.25,0.8,0.98,0.156
D&S,0.25,0.8,0.974,0.15
LFC,0.25,0.8,0.972,0.152
MACE,0.25,0.8,0.986,0.174
Majority Vote,0.25,0.8,0.922,0.238
NUTMEG,0.25,0.8,0.986,0.778
BCC,0.25,0.9,0.988,0.086
D&S,0.25,0.9,0.99,0.08
LFC,0.25,0.9,0.99,0.08
MACE,0.25,0.9,0.98,0.098
Majority Vote,0.25,0.9,0.894,0.184
NUTMEG,0.25,0.9,0.996,0.786
BCC,0.25,1.0,0.98,0.02
D&S,0.25,1.0,0.984,0.016
LFC,0.25,1.0,0.984,0.016
MACE,0.25,1.0,0.982,0.018
Majority Vote,0.25,1.0,0.88,0.12
NUTMEG,0.25,1.0,0.986,0.782
